DriverNumber,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,TrackStatus,IsPersonalBest,IsAccurate,RaceNumber,Year,EventName
1,VER,2.0,96.296,30.916,41.661,23.719,SOFT,5.0,1.0,1,True,True,1,2024,Bahrain Grand Prix
1,VER,3.0,96.753,30.999,41.966,23.788,SOFT,6.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,4.0,96.647,30.931,41.892,23.824,SOFT,7.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,5.0,97.173,31.255,42.056,23.862,SOFT,8.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,6.0,97.092,31.041,42.187,23.864,SOFT,9.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,7.0,97.038,31.015,42.118,23.905,SOFT,10.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,8.0,97.024,31.041,42.077,23.906,SOFT,11.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,9.0,97.229,31.1,42.166,23.963,SOFT,12.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,10.0,96.96,30.986,42.009,23.965,SOFT,13.0,1.0,12,False,True,1,2024,Bahrain Grand Prix
1,VER,11.0,97.085,30.974,42.142,23.969,SOFT,14.0,1.0,21,False,True,1,2024,Bahrain Grand Prix
1,VER,12.0,97.045,30.966,42.091,23.988,SOFT,15.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,13.0,97.03,30.964,42.055,24.011,SOFT,16.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,14.0,97.028,30.938,42.042,24.048,SOFT,17.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,15.0,97.011,30.887,42.058,24.066,SOFT,18.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,16.0,97.168,31.048,42.032,24.088,SOFT,19.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,19.0,95.283,30.628,41.162,23.493,HARD,2.0,2.0,1,True,True,1,2024,Bahrain Grand Prix
1,VER,20.0,95.16,30.585,41.1,23.475,HARD,3.0,2.0,1,True,True,1,2024,Bahrain Grand Prix
1,VER,21.0,95.316,30.576,41.24,23.5,HARD,4.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,22.0,95.204,30.56,41.142,23.502,HARD,5.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,23.0,95.216,30.553,41.145,23.518,HARD,6.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,24.0,95.289,30.548,41.257,23.484,HARD,7.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,25.0,95.342,30.518,41.282,23.542,HARD,8.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,26.0,95.223,30.522,41.14,23.561,HARD,9.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,27.0,95.581,30.649,41.338,23.594,HARD,10.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,28.0,95.477,30.588,41.272,23.617,HARD,11.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,29.0,95.793,30.679,41.485,23.629,HARD,12.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,30.0,95.771,30.657,41.47,23.644,HARD,13.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,31.0,95.679,30.635,41.435,23.609,HARD,14.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,32.0,95.886,30.669,41.519,23.698,HARD,15.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,33.0,95.863,30.69,41.459,23.714,HARD,16.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,34.0,96.133,30.685,41.661,23.787,HARD,17.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,35.0,96.018,30.727,41.557,23.734,HARD,18.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,36.0,96.205,30.794,41.561,23.85,HARD,19.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,39.0,92.608,29.741,39.916,22.951,SOFT,2.0,3.0,1,True,True,1,2024,Bahrain Grand Prix
1,VER,40.0,96.589,31.014,42.023,23.552,SOFT,3.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,41.0,95.29,30.697,41.281,23.312,SOFT,4.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,42.0,94.667,30.477,40.996,23.194,SOFT,5.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,43.0,94.151,30.132,40.772,23.247,SOFT,6.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,44.0,94.531,30.348,40.805,23.378,SOFT,7.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,45.0,94.249,30.18,40.825,23.244,SOFT,8.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,46.0,94.193,30.301,40.682,23.21,SOFT,9.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,47.0,94.239,30.267,40.704,23.268,SOFT,10.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,48.0,94.35,30.245,40.738,23.367,SOFT,11.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,49.0,94.403,30.246,40.804,23.353,SOFT,12.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,50.0,94.783,30.229,40.928,23.626,SOFT,13.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,51.0,94.34,30.003,40.834,23.503,SOFT,14.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,52.0,94.906,30.333,40.919,23.654,SOFT,15.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,53.0,95.6,30.528,41.382,23.69,SOFT,16.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,54.0,95.334,30.427,41.227,23.68,SOFT,17.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,55.0,95.184,30.493,41.22,23.471,SOFT,18.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,56.0,94.671,30.256,40.87,23.545,SOFT,19.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
1,VER,57.0,94.923,30.384,40.91,23.629,SOFT,20.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,2.0,96.541,30.678,41.867,23.996,SOFT,5.0,1.0,1,True,True,1,2024,Bahrain Grand Prix
11,PER,3.0,97.297,30.596,42.478,24.223,SOFT,6.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,4.0,97.722,30.716,42.623,24.383,SOFT,7.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,5.0,98.044,30.997,42.754,24.293,SOFT,8.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,6.0,97.823,30.843,42.702,24.278,SOFT,9.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,7.0,97.821,31.013,42.682,24.126,SOFT,10.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,8.0,97.838,31.305,42.428,24.105,SOFT,11.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,9.0,97.596,31.145,42.395,24.056,SOFT,12.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,10.0,97.63,31.178,42.322,24.13,SOFT,13.0,1.0,12,False,True,1,2024,Bahrain Grand Prix
11,PER,11.0,97.836,31.054,42.473,24.309,SOFT,14.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,14.0,95.606,30.063,41.855,23.688,HARD,2.0,2.0,1,True,True,1,2024,Bahrain Grand Prix
11,PER,15.0,96.815,30.785,41.795,24.235,HARD,3.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,16.0,95.783,30.569,41.558,23.656,HARD,4.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,17.0,96.454,30.922,41.823,23.709,HARD,5.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,18.0,96.311,30.803,41.835,23.673,HARD,6.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,19.0,96.038,30.702,41.633,23.703,HARD,7.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,20.0,96.278,30.918,41.686,23.674,HARD,8.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,21.0,96.165,30.849,41.61,23.706,HARD,9.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,22.0,96.037,30.824,41.536,23.677,HARD,10.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,23.0,96.249,30.84,41.729,23.68,HARD,11.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,24.0,96.211,30.792,41.687,23.732,HARD,12.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,25.0,96.344,30.878,41.719,23.747,HARD,13.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,26.0,96.347,30.938,41.666,23.743,HARD,14.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,27.0,96.233,30.853,41.543,23.837,HARD,15.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,28.0,96.226,30.929,41.588,23.709,HARD,16.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,29.0,96.437,30.926,41.749,23.762,HARD,17.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,30.0,96.313,30.916,41.643,23.754,HARD,18.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,31.0,96.339,30.843,41.752,23.744,HARD,19.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,32.0,96.276,30.856,41.671,23.749,HARD,20.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,33.0,96.564,30.907,41.752,23.905,HARD,21.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,34.0,96.378,30.84,41.734,23.804,HARD,22.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,35.0,96.776,30.938,41.91,23.928,HARD,23.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,38.0,94.804,30.581,40.931,23.292,SOFT,2.0,3.0,1,True,True,1,2024,Bahrain Grand Prix
11,PER,39.0,94.607,30.563,40.893,23.151,SOFT,3.0,3.0,1,True,True,1,2024,Bahrain Grand Prix
11,PER,40.0,94.364,30.4,40.772,23.192,SOFT,4.0,3.0,1,True,True,1,2024,Bahrain Grand Prix
11,PER,41.0,94.4,30.351,40.884,23.165,SOFT,5.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,42.0,94.525,30.299,40.985,23.241,SOFT,6.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,43.0,94.797,30.403,41.148,23.246,SOFT,7.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,44.0,94.799,30.389,41.028,23.382,SOFT,8.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,45.0,94.592,30.338,40.986,23.268,SOFT,9.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,46.0,94.844,30.41,41.109,23.325,SOFT,10.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,47.0,94.73,30.281,41.074,23.375,SOFT,11.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,48.0,94.885,30.358,41.147,23.38,SOFT,12.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,49.0,94.966,30.4,41.133,23.433,SOFT,13.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,50.0,95.082,30.366,41.337,23.379,SOFT,14.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,51.0,94.94,30.36,41.144,23.436,SOFT,15.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,52.0,95.183,30.577,41.129,23.477,SOFT,16.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,53.0,95.842,30.638,41.522,23.682,SOFT,17.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,54.0,95.459,30.578,41.382,23.499,SOFT,18.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,55.0,95.611,30.683,41.42,23.508,SOFT,19.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,56.0,95.568,30.539,41.406,23.623,SOFT,20.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
11,PER,57.0,95.746,30.521,41.6,23.625,SOFT,21.0,3.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,2.0,97.236,30.974,42.366,23.896,SOFT,5.0,1.0,1,True,True,1,2024,Bahrain Grand Prix
55,SAI,3.0,97.08,31.049,42.179,23.852,SOFT,6.0,1.0,1,True,True,1,2024,Bahrain Grand Prix
55,SAI,4.0,97.264,30.957,42.373,23.934,SOFT,7.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,5.0,98.032,30.967,42.821,24.244,SOFT,8.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,6.0,97.741,30.879,42.803,24.059,SOFT,9.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,7.0,98.26,30.847,43.148,24.265,SOFT,10.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,8.0,98.183,31.341,42.701,24.141,SOFT,11.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,9.0,98.03,30.99,42.868,24.172,SOFT,12.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,10.0,97.608,30.819,42.638,24.151,SOFT,13.0,1.0,12,False,True,1,2024,Bahrain Grand Prix
55,SAI,11.0,97.656,31.266,42.386,24.004,SOFT,14.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,12.0,97.65,31.089,42.46,24.101,SOFT,15.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,13.0,97.243,31.025,42.212,24.006,SOFT,16.0,1.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,16.0,96.376,30.412,42.131,23.833,HARD,2.0,2.0,1,True,True,1,2024,Bahrain Grand Prix
55,SAI,17.0,95.507,30.202,41.758,23.547,HARD,3.0,2.0,1,True,True,1,2024,Bahrain Grand Prix
55,SAI,18.0,96.088,30.59,41.964,23.534,HARD,4.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,19.0,96.236,30.805,41.897,23.534,HARD,5.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,20.0,96.034,30.786,41.66,23.588,HARD,6.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,21.0,96.104,30.796,41.752,23.556,HARD,7.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,22.0,96.008,30.686,41.77,23.552,HARD,8.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,23.0,96.149,30.738,41.797,23.614,HARD,9.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,24.0,96.2,30.698,41.881,23.621,HARD,10.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,25.0,96.22,30.724,41.907,23.589,HARD,11.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,26.0,96.221,30.714,41.878,23.629,HARD,12.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,27.0,96.272,30.807,41.836,23.629,HARD,13.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,28.0,96.534,30.901,41.965,23.668,HARD,14.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,29.0,96.6,30.852,41.97,23.778,HARD,15.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,30.0,96.337,30.746,41.897,23.694,HARD,16.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,31.0,96.537,30.851,41.959,23.727,HARD,17.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,32.0,96.762,30.873,42.115,23.774,HARD,18.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
55,SAI,33.0,96.556,30.833,41.987,23.736,HARD,19.0,2.0,1,False,True,1,2024,Bahrain Grand Prix
